,video_id,video_title,publicacion,vistas,likes,comment_count
0,A4XMVTFmKuU,"Sayyata Vidhi Sayyata Promo Song | Annapoorna Photo Studio | Chaitanya,Lavanya |Prince Henry |Yash R",2023-05-17T03:48:00Z,1413,53,0
1,ZbAhfM5kjzM,A Collection Of Ananta Sriram Jukebox | Selected Ananta Sriram Top 10 Songs | Telugu Hits,2023-05-16T13:15:24Z,1983,57,3
2,lZb2VixGuJ8,Evergreen Combination Of SPB &amp; P.Susheela Jukebox | SPB &amp; P Susheela Best Songs | Telugu Hits,2023-05-15T13:00:08Z,1950,40,2
3,iU2rMRZcn1U,"Naalo Nene Lenu Lyrical | Rules Ranjann | Kiran Abbavaram, Neha Sshetty | Rathinam Krishna | Amrish",2023-05-15T05:40:02Z,3826834,53941,2044
4,7MoH-SA0naw,Mother&#39;s Day Special Telugu Hits Songs Jukebox | #HappyMothersDay | Telugu Mother Songs,2023-05-14T13:00:08Z,2693,105,7
5,CO066WD-n34,Ringa Ringa Rosey Lyrical Video Song | Atharva | Karthik Raju | Simran | Mahesh R | Sricharan Pakala,2023-05-14T12:33:12Z,2711611,21123,2132
6,zV07rG_T2Ho,"Paisa Re Lyrical Video-OMG (O Manchi Ghost)  | Vennela,Shakalaka |Anup R |Marthand KS | Dr. Abinika",2023-05-13T11:42:47Z,1821890,10175,2106
7,mf6C95UwC6M,"Bye Bye Bye Telugu Audio Song |Thrimurthulu Movie Song |Venkatesh, Arjun,Shobhana | Bappi Lahiri",2023-05-12T13:30:25Z,3119,37,2
8,gJGzzpq2AXg,"#pakkalocal | #janathagarage | #jrntr, #kajalagarwal | #devisriprasad | #GeethaMadhuri #shorts",2023-05-12T13:22:19Z,13702,653,2
9,uI_Cjpb9I2M,"Naalo Nene Lenu Song Promo | Rules Ranjann | Kiran Abbavaram,Neha Shetty | Rathinam Krishna | Amrish",2023-05-12T12:00:50Z,1820740,28652,1166
10,Lbt4xdCDlUw,Wild Hits Jukebox | Selected Top 10 Wild Telugu Collection | Telugu Dance Fever Songs,2023-05-12T11:46:19Z,5678,259,6
11,MtEsH7ZCFkI,Ringa Ringa Rosey Song Promo | Atharva Movie | Karthik Raju | Simran | Mahesh R | Sricharan Pakala,2023-05-12T04:30:06Z,2468,69,8
12,4x8jfsmCjQA,"Ayyayyo Ayyayyayyo Song | Thrimurthulu | Venkatesh,Arjun,Rajendra | Bappi Lahiri | Telugu Old Songs",2023-05-11T12:08:01Z,3148,47,2
13,e3ew7YUeeQc,Adipurush (Official Trailer) Telugu Prabhas | Kriti Sanon | Saif Ali Khan | Om Raut | Bhushan Kumar,2023-05-09T08:36:07Z,24304096,634553,28124
14,n4HDIGgTrP8,"Paisa Paisa ðŸ’° ðŸ’´ Song Promo | OMG (O Manchi Ghost) | Vennela K,Shakalaka | Anup Rubens | Marthand KS",2023-05-08T10:34:56Z,1570024,10053,839
15,FivySL4mGic,"Tippa Tippa Lyrical Video Song |Antheema Theerpu |Sai Dhanshika,Amit Tiwari | Koti | D Rajeswara Rao",2023-05-07T10:00:09Z,807405,5424,543
16,IMucGpLgH7c,"Vennello Adapilla Lyrical Video | Annapoorna Photo Studio Movie | Chaitanya,Lavanya |Chendu M | Yash",2023-05-04T03:48:00Z,1287101,5492,595
17,rgLHQ7YLZY4,Wild Saala Video Song [4K]| Agent | Akhil Akkineni | Urvashi Rautela|Surender Reddy|Bheems Ceciroleo,2023-04-25T06:03:49Z,825627,21443,500
18,Z40bqxw5lFI,Jai Shri Ram (Telugu Lyrical Motion Poster) Adipurush | Prabhas | Ajay-Atul | Ramajogayya | Om Raut,2023-04-22T02:31:00Z,8336468,226974,7280
19,fQurT6WNHTU,#PrabuthwaJuniorKalashalaGlimpse #PranavSingampalli #ShagnaS #love #ytshorts #ytviral,2023-04-18T12:39:36Z,12710,409,6
20,DIediUuE4to,"Prabuthwa Junior Kalashala Glimpse | Pranav Singampalli,Shagna S | Karthik R | Sreenath Pulakuram",2023-04-14T05:37:00Z,319971,1032,83
21,i0t3rkevqc4,Rama Krishna Song Promo | Agent | Akhil Akkineni | Surender Reddy | Hiphop Tamizha,2023-04-12T11:35:00Z,57020,3924,90
22,lawuY8Ce_vA,"Baby Lyrical Video Song - Unstoppable Unlimited Fun |Aqsa K,Vj Sunny,Saptagiri |Bheems |Indravathi C",2023-04-10T12:36:04Z,2947949,31141,1235
23,Ci70_PQtwX0,"Baby Song Promo | Unstoppable - Unlimited Fun | Aqsa K,Vj Sunny,Saptagiri | Bheems | Indravathi C",2023-04-09T09:47:19Z,12069,289,11
24,ToCLST-8LTc,"Lyrical Video: Rangamma | Annapoorna Photo Studio Movie |Chaitanya,Lavanya | Prince Henry | Yash R",2023-04-06T03:39:01Z,2316045,11922,1017
25,6gG8Mg8bmBU,"Emo Emo Ohalevo Lyrical Video Song | Sakshi Movie | Sharan,Janvir K,Chaitanya N | Bheems Ceciroleo",2023-03-25T13:15:03Z,1151450,5809,541
26,m0jFiVX-Iak,"Endhe Endhe - Lyrical | Agent | Akhil Akkineni , Sakshi Vaidya | Surender Reddy | Hiphop Tamizha",2023-03-24T13:31:59Z,371778,10281,321
27,Cxzwu3-9Jek,Padipotunna Lyrical Video Song | GAME ON | Geetanand | Ashwin Arun | Dayanandh | Kasturi Creations,2023-03-24T05:37:03Z,2032779,32726,1954
28,gcd-u6L_M-8,"Endhe Endhe Song Promo | Agent | Akhil Akkineni,Sakshi Vaidya | Surender Reddy | Hiphop Tamizha",2023-03-22T11:35:01Z,170606,7480,174
29,hmHRewwxYg0,God Of Masses Most Romantic Songs _Audio Jukebox | Nandamuri Balakrishna Telugu Hits | Telugu Hits,2023-03-20T10:44:06Z,47583,230,6
30,PkbOzMU-uak,"Edho Edho Kalavaram Lyrical Video Song | Anveshi Movie | Vijay Dharan,Simran G | Chaitan B | Prem R",2023-03-20T05:41:07Z,4013047,26141,2007
31,3x3Gff-COFQ,Atharva Teaser - Telugu | Karthik Raju | Simran Choudhary | Mahesh Reddy | Sricharan Pakala,2023-03-20T05:30:00Z,1018121,3575,466
32,iIWbgn8SYzE,"Bull Bull Unstoppable Lyrical Video | Unstoppable Movie | Vj Sunny,Saptagiri | Bheems C | Rajith R",2023-03-18T05:41:04Z,1339587,13790,1123
33,ENYGdZ5-3XE,"Bull Bull Unstoppable | Unstoppable | Vj Sunny,Saptagiri | Bheems Cecirolio | Kasarla S | Rajith R",2023-03-16T15:50:07Z,25348,867,7
34,eKUX7OtcUss,"Swathi Chinuka Song | Anaganaga O Ammayee Movie |Srikanth,Abbas,Soundarya | Mani S | Telugu Songs",2023-03-16T11:07:03Z,341404,956,11
35,pC708wAXvI8,ARI (My Name is Nobody) Theatrical Trailer | Jayashankarr | Anasuya Bharadwaj |Saikumar |Anup Rubens,2023-03-12T03:38:08Z,257498,4056,146
36,cGm1T23qz0U,RICHO RICH Full Lyrical Song | GAME ON | Geetanand | Nawab Gang | Dayanandh | Kasturi Creations,2023-03-09T05:37:11Z,3456780,37254,18271
37,ehx4vCLPzkE,Chinnari Kittayya Lyrical Video -Ari | Mangli | Anup Rubens | Jayashankarr | Latest Telugu Song 2023,2023-03-05T03:39:04Z,2086936,21490,855
38,glJEFWOXPZw,Kallu Sukka Video with Lyrics [4K] | Rajender Pulukurthi | Satish Bandoji | Latest Telugu Folk Song,2023-03-04T05:30:02Z,1135827,31740,2045
39,76aVWHv8N5I,Rudrangi Lyrical Title Song | Rudrangi Movie | Jagapathi Babu | Kailash Kher | Nawfal Raja Ais,2023-02-25T11:43:08Z,2201460,6483,613
40,owXETxJINvI,"Malli Malli Song Promo | Agent | Akhil Akkineni, Mammootty | Surender Reddy | Anil Sunkara",2023-02-21T13:33:02Z,71663,4476,94
41,CWVCOJ7t3YA,"GAME ON TEASER | Geetanand,Neha Solanki,Dayanandh | Madhoobala | Aditya Menon| Kasturi Creations",2023-02-21T10:03:03Z,2344097,4305,202
42,QAnv2DtuDcg,"Anveshi Motion Promo | Vijay Dharan, Simran Gupta, Ananya Nagalla | Latest Telugu Movie 2023",2023-02-18T05:41:00Z,33534,544,65
43,jcPc86ZPpR0,"Jajimogulali Song | Rudrangi Movie | Jagapathi B,Mamta Mohan D, Divi | Nawfal Raja Ais |",2023-02-17T07:06:20Z,51628,270,2
44,enZH7tFvKgY,"Vey Dharuvey Movie Teaser | Sai Raam Shankar,Yasha Shiva Kumar,Prudhvi Sunil | Devaraj Pothuru",2023-02-16T05:41:05Z,3189288,26477,295
45,9RoapXIY_hU,"Nava Manmathuda Lyrical Song | Pelli Sandadi Telugu Movie | Srikant,Deepti Bhatgar | MM Keeravaani",2023-02-07T12:44:20Z,26690,144,5
46,nEtG_15Zs3M,"Jajimogulali Lyrical Video Song | Rudrangi Movie | Jagapathi B,Mamta Mohan D, Divi | Nawfal Raja Ais",2023-02-04T11:43:07Z,3222071,19299,890
47,QeMzKdnvRFY,GAME ON Glimpse | Geetanand | Neha Solanki | Dayanandh | Madhoobala |  Aditya M | Kasturi Creations,2023-02-01T10:35:06Z,217318,699,28
48,vudTQ44RS6g,"Nee Sittarangi Sariya Lyrical Video Song | Sakshi Telugu Movie | Sharan,Janvir K | Bheems Ceciroleo",2023-01-28T05:30:11Z,2131181,21111,558
49,QygP7-SwxRo,"Vey Dharuvey Lyrical Title Video | Vey Dharuvey | Sai Raam Shankar,Yasha Shiva K, | Bheems Ceciroleo",2023-01-23T05:41:03Z,4056161,30408,1546
